,Molecular mass of acid,Molecular mass of amine,The boiling point of acid,The boiling point of amine,The melting point of acid,The melting point of amine,Acid flash point,Flash point of amine,The amount of nitrogen in the acid,The amount of nitrogen in the amine,The oxygen content of the acid,The amount of oxygen in the amine,The amount of hydrogen in the acid,The amount of hydrogen in the amine,The amount of carbon in the acid,The amount of carbon in the amine,Molar refractive index of acid,Molar refractive index of amine,Refractive index of acid,Refractive index of amine,The polarizability of acid,The polarizability of amine,The number of hydrogen bond donors for acid,The number of hydrogen bond donors for the amine,The number of hydrogen bond receptors for acid,The number of hydrogen bond receptors for the amine,The number of rotatable bonds of an acid,The number of rotatable bonds of an amine,The number of heavy atoms of an acid,The number of heavy atoms of an amine,Topological molecular polar surface area of acids,Topological molecular polar surface area of amines,Acid complexity,Amine complexity,The relative density of the acid,The relative density of amines,The relative vapor density of the acid,The relative vapor density of the amine,The vapor pressure of acid is 25¡æ,The vapor pressure of the amine is 25¡æ,The burning heat of acid,The burning heat of amine,The critical temperature of the acid,The critical temperature of the amine,Critical pressure of acid,The critical pressure of the amine,Octanol/water partition coefficient of acid,Octanol/water partition coefficient of amine,The PSA of acid  ,The PSA of Amine ,LogP of acid,LogP of an amine,Surface tension of acid,Surface tension of amine,Isotonic specific volume of acid,Isotonic specific volume of amine,Molar volume of acid,Molar volume of an amine,3-mercaptopropionic acid,Temperature,Time,Fluorescence intensity
1,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,220,30,8.784715
2,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,220,40,9.05305
3,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,220,50,5.756281
4,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,240,30,7.0495665
5,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,240,40,7.76263
6,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,240,50,4.0174975
7,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,260,30,4.749921
8,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,260,40,5.3406265
9,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.2,260,50,3.014862
10,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.4,220,30,8.51082
11,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.4,220,40,9.04442
12,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.4,220,50,5.65291
13,88.11,73.14,77.8,163.5,-7.9,-50.5,76.7,-12,0,1,2,0,8,11,4,4,22.14,24.11,1.411,1.406,8.77,9.56,1,1,2,1,2,2,6,5,37.3,26,49.5,13.1,0.96,0.74,3.04,2.52,1.4,97.3,-2181.4,-3018.4,355,251,5.27,4.16,0.79,0.97,37.3,26.02,0.78,0.93,32.5,25.3,213,220.3,89.1,98.2,0.4,240,30,7.330354
